DBA,Organization,CIDR,bits,net
LACNIC,Latin American and Caribbean IP address Regional Registry,190.0.0.0/8,8,190.0.0.0/8
LACNIC,Latin American and Caribbean IP address Regional Registry,191.0.0.0/8,8,191.0.0.0/8
LACNIC,Latin American and Caribbean IP address Regional Registry,192.100.155.0/24,24,192.100.155.0/24
LACNIC,Latin American and Caribbean IP address Regional Registry,192.100.156.0/22,22,192.100.156.0/22
LACNIC,Latin American and Caribbean IP address Regional Registry,192.100.160.0/19,19,192.100.160.0/19
LACNIC,Latin American and Caribbean IP address Regional Registry,192.100.192.0/19,19,192.100.192.0/19
LACNIC,Latin American and Caribbean IP address Regional Registry,192.100.224.0/20,20,192.100.224.0/20
LACNIC,Latin American and Caribbean IP address Regional Registry,192.100.240.0/21,21,192.100.240.0/21
LACNIC,Latin American and Caribbean IP address Regional Registry,192.100.248.0/22,22,192.100.248.0/22
LACNIC,Latin American and Caribbean IP address Regional Registry,192.100.252.0/23,23,192.100.252.0/23
LACNIC,Latin American and Caribbean IP address Regional Registry,192.100.254.0/24,24,192.100.254.0/24
LACNIC,Latin American and Caribbean IP address Regional Registry,192.12.112.0/22,22,192.12.112.0/22
LACNIC,Latin American and Caribbean IP address Regional Registry,192.140.16.0/20,20,192.140.16.0/20
LACNIC,Latin American and Caribbean IP address Regional Registry,192.140.32.0/19,19,192.140.32.0/19
LACNIC,Latin American and Caribbean IP address Regional Registry,192.140.64.0/18,18,192.140.64.0/18
LACNIC,Latin American and Caribbean IP address Regional Registry,192.140.8.0/21,21,192.140.8.0/21
LACNIC,Latin American and Caribbean IP address Regional Registry,192.141.0.0/16,16,192.141.0.0/16
LACNIC,Latin American and Caribbean IP address Regional Registry,192.144.64.0/21,21,192.144.64.0/21
LACNIC,Latin American and Caribbean IP address Regional Registry,192.144.96.0/19,19,192.144.96.0/19
LACNIC,Latin American and Caribbean IP address Regional Registry,192.145.192.0/19,19,192.145.192.0/19
LACNIC,Latin American and Caribbean IP address Regional Registry,192.188.44.0/22,22,192.188.44.0/22
LACNIC,Latin American and Caribbean IP address Regional Registry,192.188.48.0/21,21,192.188.48.0/21
LACNIC,Latin American and Caribbean IP address Regional Registry,192.188.56.0/22,22,192.188.56.0/22
LACNIC,Latin American and Caribbean IP address Regional Registry,192.188.60.0/24,24,192.188.60.0/24
LACNIC,Latin American and Caribbean IP address Regional Registry,192.198.8.0/21,21,192.198.8.0/21
LACNIC,Latin American and Caribbean IP address Regional Registry,200.0.0.0/8,8,200.0.0.0/8
LACNIC,Latin American and Caribbean IP address Regional Registry,201.0.0.0/8,8,201.0.0.0/8
LACNIC,Latin American and Caribbean IP address Regional Registry,207.191.160.0/20,20,207.191.160.0/20
LACNIC,Latin American and Caribbean IP address Regional Registry,207.248.0.0/15,15,207.248.0.0/15
LACNIC,Latin American and Caribbean IP address Regional Registry,209.13.0.0/16,16,209.13.0.0/16
LACNIC,Latin American and Caribbean IP address Regional Registry,209.45.0.0/17,17,209.45.0.0/17
LACNIC,Latin American and Caribbean IP address Regional Registry,216.155.64.0/19,19,216.155.64.0/19
LACNIC,Latin American and Caribbean IP address Regional Registry,216.230.128.0/19,19,216.230.128.0/19
LACNIC,Latin American and Caribbean IP address Regional Registry,216.244.128.0/17,17,216.244.128.0/17
LACNIC,Latin American and Caribbean IP address Regional Registry,216.98.208.0/20,20,216.98.208.0/20
LACNIC,Latin American and Caribbean IP address Regional Registry,24.232.0.0/16,16,24.232.0.0/16
LACNIC,Latin American and Caribbean IP address Regional Registry,2800::/12,12,2800::/12
LACNIC,Latin American and Caribbean IP address Regional Registry,45.160.0.0/11,11,45.160.0.0/11
LACNIC,Latin American and Caribbean IP address Regional Registry,45.224.0.0/12,12,45.224.0.0/12
LACNIC,Latin American and Caribbean IP address Regional Registry,45.4.0.0/14,14,45.4.0.0/14
LACNIC,Latin American and Caribbean IP address Regional Registry,45.65.128.0/17,17,45.65.128.0/17
LACNIC,Latin American and Caribbean IP address Regional Registry,45.68.0.0/14,14,45.68.0.0/14
LACNIC,Latin American and Caribbean IP address Regional Registry,64.32.64.0/18,18,64.32.64.0/18
LACNIC,Latin American and Caribbean IP address Regional Registry,66.98.0.0/18,18,66.98.0.0/18
LACNIC,Latin American and Caribbean IP address Regional Registry,66.98.64.0/19,19,66.98.64.0/19
LACNIC,Latin American and Caribbean IP address Regional Registry,72.44.16.0/20,20,72.44.16.0/20
LADEDICATED Chicago,LADEDICATED Chicago,216.105.171.0/24,24,216.105.171.0/24
LAKE FOREST COLLEGE,LAKE FOREST COLLEGE,164.68.0.0/18,18,164.68.0.0/18
LAKE FOREST COLLEGE,LAKE FOREST COLLEGE,164.68.64.0/19,19,164.68.64.0/19
LAPORTE CPAS BUSINESS,LAPORTE CPAS BUSINESS,207.242.2.0/29,29,207.242.2.0/29
LDDS02 Residential,LDDS02 Residential,206.225.140.0/24,24,206.225.140.0/24
LGS SPEC IALTY SALES,LGS SPEC IALTY SALES,47.23.153.0/29,29,47.23.153.0/29
LIBERTY VIEW BATTERY PLACE ASSOCIATES LLC,LIBERTY VIEW BATTERY PLACE ASSOCIATES LLC,172.254.26.0/29,29,172.254.26.0/29
LIFEWATCH SERVICES INC.,LIFEWATCH SERVICES INC.,204.68.184.0/24,24,204.68.184.0/24
LISLE PARK DISTRICT,LISLE PARK DISTRICT,184.80.228.0/30,30,184.80.228.0/30
"LOANDEPOT.COM, LLC","LOANDEPOT.COM, LLC",208.90.0.0/21,21,208.90.0.0/21
LP Overlook LLC,LP Overlook LLC,74.204.69.0/24,24,74.204.69.0/24
LQ MANAGEMENT LLC,LQ MANAGEMENT LLC,74.219.233.0/28,28,74.219.233.0/28
LUS Fiber,LUS Fiber,76.72.0.0/17,17,76.72.0.0/17
LUXOTTICA-070630013911,LUXOTTICA-070630013911,76.238.122.0/29,29,76.238.122.0/29
LVMH MOET HENNESSY LOUIS VUITTON,LVMH MOET HENNESSY LOUIS VUITTON,192.55.191.0/24,24,192.55.191.0/24
LYNXNET.CA,LYNXNET.CA,67.22.64.0/20,20,67.22.64.0/20
La Coop federee,La Coop federee,207.164.135.0/26,26,207.164.135.0/26
Lake Nona Sales Office,Lake Nona Sales Office,216.239.166.0/27,27,216.239.166.0/27
LakeLand Internet LLC,LakeLand Internet LLC,67.199.254.0/24,24,67.199.254.0/24
Lakeland Communications,Lakeland Communications,216.26.108.0/24,24,216.26.108.0/24
Landex research,Landex research,208.73.132.0/27,27,208.73.132.0/27
"Lands' End, Inc.","Lands' End, Inc.",198.184.152.0/23,23,198.184.152.0/23
Lanset America Corporation,Lanset America Corporation,69.94.128.0/19,19,69.94.128.0/19
Lansing Community College,Lansing Community College,192.203.222.0/23,23,192.203.222.0/23
Lawson Industries Inc,Lawson Industries Inc,172.98.100.0/27,27,172.98.100.0/27
Lawyers Title Insurance Corp.,Lawyers Title Insurance Corp.,206.211.96.0/19,19,206.211.96.0/19
Leaf River Telephone Company,Leaf River Telephone Company,64.186.33.0/24,24,64.186.33.0/24
Lear Corporation (LEA),Lear Corporation (LEA),165.207.0.0/16,16,165.207.0.0/16
"LeaseWeb USA, Inc. Pheonix "," LeaseWeb USA, Inc. Pheonix ",23.83.128.0/21,21,23.83.128.0/21
Leasweb USA,"Leaseweb USA, Inc.",108.59.0.0/20,20,108.59.0.0/20
Leasweb USA,"Leaseweb USA, Inc.",108.62.116.0/22,22,108.62.116.0/22
Leasweb USA,"Leaseweb USA, Inc.",162.210.192.0/21,21,162.210.192.0/21
Leasweb USA,"Leaseweb USA, Inc.",172.241.128.0/22,22,172.241.128.0/22
Leasweb USA,"Leaseweb USA, Inc.",192.96.200.0/21,21,192.96.200.0/21
Leasweb USA,"Leaseweb USA, Inc.",198.7.56.0/21,21,198.7.56.0/21
Leasweb USA,"Leaseweb USA, Inc.",199.115.112.0/21,21,199.115.112.0/21
Leasweb USA,"Leaseweb USA, Inc.",207.244.64.0/18,18,207.244.64.0/18
Leasweb USA,"Leaseweb USA, Inc.",209.58.128.0/20,20,209.58.128.0/20
Leasweb USA,"Leaseweb USA, Inc.",209.58.144.0/20,20,209.58.144.0/20
Lee County Clerk of Courts,Lee County Clerk of Courts,198.184.170.0/24,24,198.184.170.0/24
"Leidos, Inc.","Leidos, Inc.",140.162.0.0/16,16,140.162.0.0/16
Lenawee-Monroe Technology Consortium,Lenawee-Monroe Technology Consortium,207.190.160.0/19,19,207.190.160.0/19
Level 3,"Level 3 Parent, LLC",159.63.0.0/16,16,159.63.0.0/16
Level 3,"Level 3 Parent, LLC",162.97.0.0/16,16,162.97.0.0/16
Level 3,"Level 3 Parent, LLC",192.2.0.0/16,16,192.2.0.0/16
Level 3,"Level 3 Parent, LLC",199.75.0.0/16,16,199.75.0.0/16
Level 3,"Level 3 Parent, LLC",199.76.0.0/15,15,199.76.0.0/15
Level 3,"Level 3 Parent, LLC",199.78.0.0/16,16,199.78.0.0/16
Level 3,"Level 3 Parent, LLC",199.92.0.0/14,14,199.92.0.0/14
Level 3,"Level 3 Parent, LLC",205.180.0.0/14,14,205.180.0.0/14
Level 3,"Level 3 Parent, LLC",206.165.0.0/16,16,206.165.0.0/16
Level 3,"Level 3 Parent, LLC",206.192.0.0/17,17,206.192.0.0/17
Level 3,"Level 3 Parent, LLC",206.57.0.0/17,17,206.57.0.0/17
Level 3,"Level 3 Parent, LLC",207.138.0.0/16,16,207.138.0.0/16
Level 3,"Level 3 Parent, LLC",208.178.0.0/16,16,208.178.0.0/16
Level 3,"Level 3 Parent, LLC",208.48.224.0/19,19,208.48.224.0/19
Level 3,"Level 3 Parent, LLC",208.49.0.0/16,16,208.49.0.0/16
Level 3,"Level 3 Parent, LLC",208.50.0.0/17,17,208.50.0.0/17
Level 3,"Level 3 Parent, LLC",208.50.192.0/18,18,208.50.192.0/18
Level 3,"Level 3 Parent, LLC",208.51.0.0/16,16,208.51.0.0/16
Level 3,"Level 3 Parent, LLC",209.244.0.0/14,14,209.244.0.0/14
Level 3,"Level 3 Parent, LLC",216.140.0.0/14,14,216.140.0.0/14
Level 3,"Level 3 Parent, LLC",4.0.0.0/9,9,4.0.0.0/9
Level 3,"Level 3 Parent, LLC",4.224.0.0/12,12,4.224.0.0/12
Level 3,"Level 3 Parent, LLC",63.208.0.0/13,13,63.208.0.0/13
Level 3,"Level 3 Parent, LLC",64.152.0.0/13,13,64.152.0.0/13
Level 3,"Level 3 Parent, LLC",64.208.0.0/16,16,64.208.0.0/16
Level 3,"Level 3 Parent, LLC",64.209.0.0/17,17,64.209.0.0/17
Level 3,"Level 3 Parent, LLC",64.210.0.0/17,17,64.210.0.0/17
Level 3,"Level 3 Parent, LLC",64.211.0.0/17,17,64.211.0.0/17
Level 3,"Level 3 Parent, LLC",64.211.128.0/18,18,64.211.128.0/18
Level 3,"Level 3 Parent, LLC",64.211.192.0/19,19,64.211.192.0/19
Level 3,"Level 3 Parent, LLC",64.212.0.0/14,14,64.212.0.0/14
Level 3,"Level 3 Parent, LLC",65.56.0.0/14,14,65.56.0.0/14
Level 3,"Level 3 Parent, LLC",65.88.0.0/14,14,65.88.0.0/14
Level 3,"Level 3 Parent, LLC",66.147.128.0/18,18,66.147.128.0/18
Level 3,"Level 3 Parent, LLC",66.147.192.0/19,19,66.147.192.0/19
Level 3,"Level 3 Parent, LLC",67.16.0.0/15,15,67.16.0.0/15
Level 3,"Level 3 Parent, LLC",67.72.0.0/14,14,67.72.0.0/14
Level 3,"Level 3 Parent, LLC",8.0.0.0/9,9,8.0.0.0/9
Liberty Broadband LLC,Liberty Broadband LLC,23.170.65.0/24,24,23.170.65.0/24
Liberty Mutual Group,Liberty Mutual Group,143.115.0.0/16,16,143.115.0.0/16
Life HME - Berryhill Rd,Life HME - Berryhill Rd,64.53.17.0/28,28,64.53.17.0/28
"LightBound, LLC","LightBound, LLC",209.43.0.0/17,17,209.43.0.0/17
LightSpar LLC,LightSpar LLC,66.241.0.0/19,19,66.241.0.0/19
Lightower,"Lightower Fiber Networks I, LLC",144.121.0.0/16,16,144.121.0.0/16
"Lightspeed Communications, LLC","Lightspeed Communications, LLC",149.20.176.0/21,21,149.20.176.0/21
LinkedIn Corporation,LinkedIn Corporation,216.52.16.0/21,21,216.52.16.0/21
Linode,Linode,104.200.16.0/20,20,104.200.16.0/20
Linode,Linode,104.237.128.0/19,19,104.237.128.0/19
Linode,Linode,172.104.0.0/15,15,172.104.0.0/15
Linode,Linode,173.230.128.0/19,19,173.230.128.0/19
Linode,Linode,173.255.192.0/18,18,173.255.192.0/18
Linode,Linode,192.155.80.0/20,20,192.155.80.0/20
Linode,Linode,198.58.96.0/19,19,198.58.96.0/19
Linode,Linode,198.74.48.0/20,20,198.74.48.0/20
Linode,Linode,23.239.0.0/19,19,23.239.0.0/19
Linode,Linode,45.33.0.0/17,17,45.33.0.0/17
Linode,Linode,45.56.64.0/18,18,45.56.64.0/18
Linode,Linode,45.79.0.0/16,16,45.79.0.0/16
Linode,Linode,50.116.0.0/18,18,50.116.0.0/18
Linode,Linode,66.175.208.0/20,20,66.175.208.0/20
Linode,Linode,66.228.32.0/19,19,66.228.32.0/19
Linode,Linode,69.164.192.0/19,19,69.164.192.0/19
Linode,Linode,74.207.224.0/19,19,74.207.224.0/19
Linode,Linode,96.126.96.0/19,19,96.126.96.0/19
Linode,Linode,97.107.128.0/20,20,97.107.128.0/20
Lion Resources,"LION RESOURCES, INC.",167.246.0.0/16,16,167.246.0.0/16
Lipscomb University,Lipscomb University,74.119.168.0/22,22,74.119.168.0/22
Lismore Cooperative Telephone Company,Lismore Cooperative Telephone Company,206.125.144.0/21,21,206.125.144.0/21
"LiteWire Internet Services, Inc.","LiteWire Internet Services, Inc.",104.243.144.0/20,20,104.243.144.0/20
Local Internet Service Company,Local Internet Service Company,69.18.0.0/18,18,69.18.0.0/18
Lofts 54,Lofts 54,76.10.0.0/23,23,76.10.0.0/23
Logonix Corporation,Logonix Corporation,184.171.224.0/20,20,184.171.224.0/20
Lola Wireless,Lola Wireless,23.170.0.0/24,24,23.170.0.0/24
Long Lines Internet,Long Lines Internet,64.5.64.0/20,20,64.5.64.0/20
Longmont Power & Communications,Longmont Power & Communications,161.97.192.0/18,18,161.97.192.0/18
Longview Cable TV (C01863720),Longview Cable TV (C01863720),142.79.64.0/20,20,142.79.64.0/20
Longwood Medical and Academic Area (LMA),Longwood Medical and Academic Area (LMA),134.174.0.0/16,16,134.174.0.0/16
Lord Bissell & Brook,Lord Bissell & Brook,67.98.107.0/24,24,67.98.107.0/24
Los Angeles Duplication & Broadcasting,Los Angeles Duplication & Broadcasting,69.174.50.0/30,30,69.174.50.0/30
Louisiana State University,Louisiana State University,167.96.0.0/16,16,167.96.0.0/16
Love's Travel Stops & Country Stores Inc.,Love's Travel Stops & Country Stores Inc.,204.115.14.0/23,23,204.115.14.0/23
"Lowe's Companies, Inc.","Lowe's Companies, Inc.",168.244.0.0/16,16,168.244.0.0/16
Loyola,Loyola University Chicago,147.126.0.0/16,16,147.126.0.0/16
Luna Carpet,Luna Carpet,216.146.80.0/27,27,216.146.80.0/27
Lurie,Ann & Robert H. Lurie Children's Hospital of Chicago,199.125.16.0/20,20,199.125.16.0/20
Lutheran Home and Services,Lutheran Home and Services,74.222.38.0/29,29,74.222.38.0/29
M.S.D. of Perry Township,M.S.D. of Perry Township,71.144.32.0/24,24,71.144.32.0/24
M/A/R/C INC,M/A/R/C INC,216.158.176.0/20,20,216.158.176.0/20
M247,M247,104.243.212.0/22,22,104.243.212.0/22
M247,M247,63.246.153.0/24,24,63.246.153.0/24
MANAGED COMPUTER SERVICE,MANAGED COMPUTER SERVICE,50.79.112.0/29,29,50.79.112.0/29
MAQUOKETA VALLEY ELECTRIC COOPERATIVE,MAQUOKETA VALLEY ELECTRIC COOPERATIVE,138.43.224.0/20,20,138.43.224.0/20
MAQUOKETA VALLEY ELECTRIC COOPERATIVE,MAQUOKETA VALLEY ELECTRIC COOPERATIVE,72.13.16.0/20,20,72.13.16.0/20
"MARQUETTE-ADAMS TELEPHONE COOPERATIVE, INC.","MARQUETTE-ADAMS TELEPHONE COOPERATIVE, INC.",66.187.32.0/20,20,66.187.32.0/20
"MARQUETTE-ADAMS TELEPHONE COOPERATIVE, INC.","MARQUETTE-ADAMS TELEPHONE COOPERATIVE, INC.",66.206.48.0/20,20,66.206.48.0/20
MARRIOTT INTERNATIONAL,MARRIOTT INTERNATIONAL,207.243.224.0/25,25,207.243.224.0/25
"MARRIOTT INTERNATIONAL ADMINISTRATIVE SERVICES, INC.","MARRIOTT INTERNATIONAL ADMINISTRATIVE SERVICES, INC.",63.85.171.0/26,26,63.85.171.0/26
"MARRIOTT INTERNATIONAL, IC.","MARRIOTT INTERNATIONAL, IC.",205.170.182.0/24,24,205.170.182.0/24
"MAXWIRE, INC.","MAXWIRE, INC.",208.73.228.0/22,22,208.73.228.0/22
MCCARRAN INTERNATIONAL AIRPORT,MCCARRAN INTERNATIONAL AIRPORT,199.36.244.0/22,22,199.36.244.0/22
MCI Telecommunications,MCI Telecommunications,166.58.0.0/16,16,166.58.0.0/16
MEADOWLANDS EXPOSITION CENTER,MEADOWLANDS EXPOSITION CENTER,47.19.36.0/29,29,47.19.36.0/29
MERLIN,MERLIN,216.73.64.0/20,20,216.73.64.0/20
METRONET Static Assignment,METRONET Static Assignment,104.254.222.0/26,26,104.254.222.0/26
"MGM Resorts International Operations, Inc.","MGM Resorts International Operations, Inc.",69.162.0.0/18,18,69.162.0.0/18
MHTC,MHTC,216.180.192.0/19,19,216.180.192.0/19
MI FIBER,MI FIBER,199.120.73.0/24,24,199.120.73.0/24
MIDWEST COMPOSTITE TECHNOLOGY,MIDWEST COMPOSTITE TECHNOLOGY,74.62.101.0/28,28,74.62.101.0/28
MIDWEST GUN EXCHANGE,MIDWEST GUN EXCHANGE,70.89.209.0/29,29,70.89.209.0/29
"MINIAT HOLDINGS, LLC","MINIAT HOLDINGS, LLC",209.65.10.0/27,27,209.65.10.0/27
MIT,Massachusetts Institute of Technology,18.0.0.0/11,11,18.0.0.0/11
MIT,Massachusetts Institute of Technology,192.54.222.0/24,24,192.54.222.0/24
MLB,"Major League Baseball Advanced Media, LP",199.76.96.0/21,21,199.76.96.0/21
MNJ Technology Services LLC,MNJ Technology Services LLC,66.252.64.0/20,20,66.252.64.0/20
MOES SOUTHWEST GRI,MOES SOUTHWEST GRI,70.88.89.0/29,29,70.88.89.0/29
MOSAIC ADVISORY GROUP LLC,MOSAIC ADVISORY GROUP LLC,98.100.174.0/29,29,98.100.174.0/29
MTCO Communications,MTCO Communications,207.179.193.0/24,24,207.179.193.0/24
MTCO Communications,MTCO Communications,207.179.194.0/24,24,207.179.194.0/24
MTCO Communications,MTCO Communications,207.179.199.0/24,24,207.179.199.0/24
MTCO Communications,MTCO Communications,207.179.202.0/28,28,207.179.202.0/28
MTCO Communications,MTCO Communications,207.179.210.0/24,24,207.179.210.0/24
MTCO Communications,MTCO Communications,207.179.235.0/28,28,207.179.235.0/28
MTCO Communications,MTCO Communications,72.34.2.0/24,24,72.34.2.0/24
MTCO Communications,MTCO Communications,72.34.3.0/25,25,72.34.3.0/25
MTCO Communications,MTCO Communications,72.34.4.0/24,24,72.34.4.0/24
MTCO Communications,MTCO Communications,72.34.9.0/28,28,72.34.9.0/28
MULBERRY TELEPHONE CO,MULBERRY TELEPHONE CO,216.21.184.0/21,21,216.21.184.0/21
MacNeal Hospital,MacNeal Hospital,204.126.150.0/23,23,204.126.150.0/23
Macomb Intermediate School District,Macomb Intermediate School District,64.88.0.0/17,17,64.88.0.0/17
Macys Systems and Technology,Macys Systems and Technology,50.59.32.0/22,22,50.59.32.0/22
Macys Systems and Technology,Macys Systems and Technology,97.65.3.0/24,24,97.65.3.0/24
Madison Telephone Company,Madison Telephone Company,66.242.192.0/19,19,66.242.192.0/19
"Magenic Technologies, Inc","Magenic Technologies, Inc",192.86.22.0/24,24,192.86.22.0/24
Magnetar Capital LLC,Magnetar Capital LLC,74.113.148.0/22,22,74.113.148.0/22
"Mahaska Communication Group, LLC","Mahaska Communication Group, LLC",216.51.252.0/22,22,216.51.252.0/22
"Mainrock II Chantilly, LLC","Mainrock II Chantilly, LLC",64.124.222.0/28,28,64.124.222.0/28
Manawa Telephone Company,Manawa Telephone Company,69.147.220.0/24,24,69.147.220.0/24
Manchester College,Manchester College,199.8.40.0/21,21,199.8.40.0/21
Manifold Services Inc,Manifold Services Inc,160.32.248.0/22,22,160.32.248.0/22
Manifold Services Inc,Manifold Services Inc,160.32.252.0/23,23,160.32.252.0/23
Manifold Services Inc,Manifold Services Inc,160.32.64.0/18,18,160.32.64.0/18
Manifold Services Inc,Manifold Services Inc,173.46.224.0/19,19,173.46.224.0/19
Manifold Services Inc,Manifold Services Inc,65.49.240.0/20,20,65.49.240.0/20
"Maple Tronics Computers, Inc.","Maple Tronics Computers, Inc.",64.255.96.0/19,19,64.255.96.0/19
Marion County IN - Main Jail,Marion County IN - Main Jail,172.98.110.0/27,27,172.98.110.0/27
Marist High School,Marist High School,199.89.229.0/24,24,199.89.229.0/24
Martelle Cooperative Telephone,Martelle Cooperative Telephone,208.126.170.0/23,23,208.126.170.0/23
Masergy Communications,Masergy Communications,64.47.0.0/16,16,64.47.0.0/16
Mass Communications,Mass Communications,69.174.28.0/29,29,69.174.28.0/29
Massillon Cable,Massillon Cable Com,24.140.0.0/24,24,24.140.0.0/24
Massillon Cable,Massillon Cable Com,24.140.204.0/22,22,24.140.204.0/22
Massillon Cable,Massillon Cable Com,24.140.208.0/21,21,24.140.208.0/21
Massillon Cable,Massillon Cable Com,24.140.216.0/22,22,24.140.216.0/22
Massillon Cable,Massillon Cable Com,24.140.220.0/23,23,24.140.220.0/23
Massillon Cable,Massillon Cable Com,24.140.48.0/20,20,24.140.48.0/20
Massillon Cable,Massillon Cable Com,24.140.96.0/21,21,24.140.96.0/21
Massive Networks Atlanta,Massive Networks Atlanta,206.168.97.0/24,24,206.168.97.0/24
"Maxim Healthcare Services, Inc.","Maxim Healthcare Services, Inc.",148.59.45.0/24,24,148.59.45.0/24
Mayer Brown LLP,Mayer Brown LLP,143.58.0.0/16,16,143.58.0.0/16
Mayo Foundation for Medical Education and Research,Mayo Foundation for Medical Education and Research,129.176.0.0/16,16,129.176.0.0/16
Mazak,Mazak,199.48.78.0/26,26,199.48.78.0/26
McAllister Equipment Co,McAllister Equipment Co,208.95.30.0/28,28,208.95.30.0/28
McCormick Place,McCormick Place,107.171.0.0/17,17,107.171.0.0/17
McDonald's Corporation,McDonald's Corporation,66.111.128.0/18,18,66.111.128.0/18
McGaw YMCA,McGaw YMCA,208.73.135.0/28,28,208.73.135.0/28
McGraw-Hill Education,McGraw-Hill Education,192.243.80.0/20,20,192.243.80.0/20
McGuireWoods LLP,McGuireWoods LLP,216.169.154.0/23,23,216.169.154.0/23
McKesson Corp.,McKesson Corp.,143.112.0.0/16,16,143.112.0.0/16
McKinsey & Company,"McKinsey & Company, Inc.",157.191.0.0/16,16,157.191.0.0/16
MediaPlanet,MediaPlanet,96.45.198.0/27,27,96.45.198.0/27
Mediacom,Mediacom Communications Corporation,104.201.64.0/18,18,104.201.64.0/18
Mediacom,Mediacom Communications Corporation,108.161.80.0/20,20,108.161.80.0/20
Mediacom,Mediacom Communications Corporation,108.166.128.0/19,19,108.166.128.0/19
Mediacom,Mediacom Communications Corporation,108.178.192.0/18,18,108.178.192.0/18
Mediacom,Mediacom Communications Corporation,192.119.192.0/18,18,192.119.192.0/18
Mediacom,Mediacom Communications Corporation,198.40.224.0/19,19,198.40.224.0/19
Mediacom,Mediacom Communications Corporation,45.59.0.0/20,20,45.59.0.0/20
Mediacom,Mediacom Communications Corporation,63.142.32.0/19,19,63.142.32.0/19
Mediacom,Mediacom Communications Corporation,64.237.16.0/20,20,64.237.16.0/20
Mediacom,Mediacom Communications Corporation,72.255.64.0/18,18,72.255.64.0/18
Mediacom,Mediacom Communications Corporation,74.84.64.0/18,18,74.84.64.0/18
Mediacom,Mediacom Communications Corporation,97.64.128.0/17,17,97.64.128.0/17
Mediacom Communications Corp,Mediacom Communications Corp,104.166.192.0/18,18,104.166.192.0/18
Mediacom Communications Corp,Mediacom Communications Corp,173.16.0.0/12,12,173.16.0.0/12
Mediacom Communications Corp,Mediacom Communications Corp,2604:2D80::/32,32,2604:2d80::/32
Mediacom Communications Corp,Mediacom Communications Corp,50.80.0.0/14,14,50.80.0.0/14
Mediaocean LLC,Mediaocean LLC,168.238.0.0/16,16,168.238.0.0/16
Medina County Career Center,Medina County Career Center,204.11.185.0/27,27,204.11.185.0/27
Medinah Baptist Church,Medinah Baptist Church,66.244.177.0/29,29,66.244.177.0/29
Medline Industries,Medline Industries,205.233.244.0/22,22,205.233.244.0/22
MegaPath,MegaPath Networks Inc.,155.229.0.0/16,16,155.229.0.0/16
MegaPath,MegaPath Networks Inc.,206.135.0.0/16,16,206.135.0.0/16
MegaPath,MegaPath Networks Inc.,207.145.0.0/16,16,207.145.0.0/16
MegaPath,MegaPath Networks Inc.,209.101.0.0/16,16,209.101.0.0/16
MegaPath,MegaPath Networks Inc.,209.166.0.0/18,18,209.166.0.0/18
MegaPath,MegaPath Corporation,216.254.0.0/17,17,216.254.0.0/17
MegaPath,MegaPath Networks Inc.,216.46.64.0/19,19,216.46.64.0/19
MegaPath,MegaPath Corporation,64.105.0.0/16,16,64.105.0.0/16
MegaPath,MegaPath Networks Inc.,64.144.0.0/16,16,64.144.0.0/16
MegaPath,MegaPath Networks Inc.,64.145.96.0/19,19,64.145.96.0/19
MegaPath,MegaPath Networks Inc.,64.204.0.0/15,15,64.204.0.0/15
MegaPath,MegaPath Networks Inc.,64.32.128.0/17,17,64.32.128.0/17
MegaPath,MegaPath Networks Inc.,64.7.0.0/19,19,64.7.0.0/19
MegaPath,MegaPath Networks Inc.,64.8.192.0/18,18,64.8.192.0/18
MegaPath,MegaPath Corporation,66.134.0.0/16,16,66.134.0.0/16
MegaPath,MegaPath Corporation,66.166.0.0/15,15,66.166.0.0/15
MegaPath,MegaPath Networks Inc.,66.80.0.0/16,16,66.80.0.0/16
MegaPath,MegaPath Corporation,67.100.0.0/14,14,67.100.0.0/14
MegaPath,MegaPath Corporation,68.164.0.0/14,14,68.164.0.0/14
MegaPath,MegaPath Corporation,69.17.0.0/17,17,69.17.0.0/17
MegaPath,MegaPath Corporation,69.3.0.0/16,16,69.3.0.0/16
MegaPath,MegaPath Networks Inc.,69.33.0.0/16,16,69.33.0.0/16
MegaPath,MegaPath Corporation,72.244.0.0/15,15,72.244.0.0/15
MegaPath,MegaPath Corporation,74.0.0.0/15,15,74.0.0.0/15
MegaPath,MegaPath Corporation,74.2.0.0/16,16,74.2.0.0/16
MegaPath,MegaPath Corporation,74.3.0.0/17,17,74.3.0.0/17
Memorial Hermann Health System,Memorial Hermann Health System,198.51.61.0/24,24,198.51.61.0/24
Mercury Network Corporation,Mercury Network Corporation,209.103.224.0/19,19,209.103.224.0/19
"Mercury Wireless, LLC","Mercury Wireless, LLC",162.246.112.0/22,22,162.246.112.0/22
Meridian IT,Meridian IT,192.175.57.0/25,25,192.175.57.0/25
"Meridian Parkway Data Center Owner, LLC","Meridian Parkway Data Center Owner, LLC",74.209.184.0/22,22,74.209.184.0/22
"Meridian Parkway Data Center Owner, LLC","Meridian Parkway Data Center Owner, LLC",74.209.188.0/24,24,74.209.188.0/24
Mesirow Financial,Mesirow Financial,207.252.173.0/24,24,207.252.173.0/24
Message Express Internet,Message Express Internet,209.74.112.0/20,20,209.74.112.0/20
MetTel,MetTel,192.226.64.0/18,18,192.226.64.0/18
MetTel,MetTel,216.194.0.0/18,18,216.194.0.0/18
"Metalink Technologies, Inc.","Metalink Technologies, Inc.",65.254.144.0/20,20,65.254.144.0/20
